지점,현재온도,체감온도,습도,풍향
강릉,15.7,15.7,0.45,동북동
강진군,14.8,14.1,0.49,동
강화,10.7,10.7,0.56,북동
거제,13.9,13.9,0.52,동
거창,13.7,13.7,0.5,남동
경주시,13.8,13.8,0.45,정온
고산,16.2,15.2,0.67,동남동
고창,15.2,15.2,0.54,남남동
고창군,15.0,15.0,0.49,남남동
고흥,13.5,13.5,0.5,남동
광양시,12.8,12.8,0.48,동북동
광주,15.2,15.2,0.49,정온
구미,12.3,12.3,0.55,정온
군산,14.9,14.9,0.54,남남동
금산,14.5,14.5,0.51,동북동
김해시,14.4,14.4,0.52,서남서
남원,14.1,14.1,0.52,서남서
남해,11.9,11.9,0.6,북동
대관령,9.6,8.1,0.46,서북서
대구,12.5,12.4,0.48,서북서
대전,14.9,14.9,0.49,북
동두천,12.1,11.0,0.61,남남동
동해,12.8,11.8,0.53,남남동
목포,14.4,14.2,0.53,남동
문경,10.6,10.1,0.55,동남동
밀양,13.2,13.2,0.43,정온
백령도,8.2,5.4,0.87,남동
보령,15.7,15.7,0.5,남남서
보성군,13.6,13.0,0.55,동남동
보은,13.7,13.7,0.52,정온
봉화,11.5,11.2,0.51,남남서
부산,15.1,14.9,0.57,남동
부안,15.1,15.1,0.56,남남서
부여,15.1,15.1,0.51,남남서
북강릉,13.2,12.4,0.46,동남동
북창원,12.0,12.0,0.44,북
북춘천,7.4,7.4,0.66,정온
산청,12.9,12.6,0.5,동남동
상주,10.6,10.6,0.56,동
서귀포,15.9,15.9,0.74,동북동
서산,14.4,14.4,0.54,남남서
서울,12.5,12.5,0.45,북북동
성산,16.0,15.6,0.6,북서
속초,14.1,14.1,0.38,남동
수원,14.1,14.1,0.6,남
순창군,14.8,14.8,0.5,동남동
순천,12.5,11.9,0.54,남
안동,11.8,11.8,0.51,북서
양산시,14.9,14.8,0.51,서남서
양평,12.6,12.6,0.5,남남동
여수,12.9,12.9,0.6,동
영광군,14.6,14.6,0.56,남동
영덕,13.5,12.6,0.51,남남동
영월,12.6,12.6,0.46,북북서
영주,11.7,11.0,0.53,남남동
영천,13.1,13.1,0.43,남서
완도,15.1,14.9,0.56,동남동
울릉도,11.2,11.2,0.6,동
울산,13.4,13.3,0.57,남
울진,13.7,13.4,0.57,남동
원주,13.0,13.0,0.44,동북동
의령군,13.6,13.6,0.48,동남동
의성,13.4,13.4,0.41,서북서
이천,12.3,12.3,0.52,동
인제,12.3,11.6,0.49,남남동
인천,12.7,12.0,0.49,남
임실,13.4,13.4,0.55,남남동
장수,14.0,14.0,0.49,남
장흥,13.9,13.6,0.52,남남동
전주,15.8,15.8,0.48,동
정선군,10.1,10.1,0.64,서남서
정읍,15.2,15.2,0.49,서북서
제주,17.1,16.6,0.55,동북동
제천,11.9,11.9,0.51,서남서
진도군,15.6,15.6,0.58,동
진주,13.8,13.8,0.49,북동
창원,13.4,13.3,0.47,동
천안,13.7,13.7,0.52,동남동
철원,10.9,10.9,0.68,정온
청송군,12.8,12.8,0.56,서북서
청주,14.0,14.0,0.48,서
추풍령,12.0,11.4,0.48,남
춘천,6.3,6.3,0.63,남남동
충주,13.5,13.5,0.5,북서
태백,11.2,9.7,0.44,남남서
통영,13.8,13.8,0.59,북북서
파주,10.6,10.6,0.6,정온
포항,14.8,14.8,0.53,서북서
함양군,13.8,13.8,0.47,서
합천,14.0,14.0,0.5,동남동
해남,14.1,12.9,0.5,남동
홍성,14.3,14.3,0.55,정온
홍천,12.4,12.4,0.49,정온
흑산도,13.0,10.6,0.77,남남동
